,ft_term_density,ft_math_accuracy,ft_strategic_consistency,base_term_density,base_math_accuracy,base_strategic_consistency
sample_0,0.0,0,1.0,0.0065040650406504065,0.0,0.987012987012987
sample_1,0.02666666666666667,0,1.0,0.0060882800608828,0.0,1.0
sample_2,0.0028735632183908046,0,1.0,0.00641025641025641,0.0,1.0
sample_3,0.023809523809523808,0,1.0,0.007155635062611807,0.0,1.0
sample_4,0.030303030303030304,0,1.0,0.012170385395537525,0.0,1.0
sample_5,0.025454545454545455,0,1.0,0.008902077151335312,0.0,1.0
sample_6,0.015625,0,1.0,0.009560229445506692,0.0,1.0
sample_7,0.07954545454545454,0,1.0,0.016333938294010888,0.0,1.0
sample_8,0.07865168539325842,0,1.0,0.017241379310344827,0.0,1.0
sample_9,0.027777777777777776,0,1.0,0.01437699680511182,0.0,1.0
sample_10,0.02364864864864865,0,1.0,0.015296367112810707,0.0,1.0
sample_11,0.03205128205128205,0,1.0,0.01303538175046555,0.0,1.0
sample_12,0.041666666666666664,0,1.0,0.012433392539964476,0.0,1.0
sample_13,0.06329113924050633,0,1.0,0.02037617554858934,0.0,1.0
sample_14,0.03529411764705882,0,1.0,0.020876826722338204,0.0,1.0
sample_15,0.028169014084507043,0,1.0,0.01129032258064516,0.0,1.0
sample_16,0.01953125,0,1.0,0.010071942446043165,0.0,1.0
sample_17,0.029411764705882353,0,1.0,0.015128593040847202,0.0,1.0
sample_18,0.1111111111111111,0,1.0,0.012295081967213115,0.0,0.8333333333333334
sample_19,0.09836065573770492,0,1.0,0.012345679012345678,0.0,1.0
sample_20,0.03409090909090909,0,1.0,0.009009009009009009,0.0,1.0
sample_21,0.058823529411764705,0,1.0,0.014571948998178506,0.0,1.0
sample_22,0.01948051948051948,0,1.0,0.01078582434514638,0.0,0.9
sample_23,0.03418803418803419,0,1.0,0.013745704467353952,0.0,1.0
sample_24,0.05555555555555555,0,1.0,0.017421602787456445,0.0,1.0
sample_25,0.14285714285714285,0,1.0,0.01929824561403509,0.0,1.0
sample_26,0.023622047244094488,0,1.0,0.011090573012939002,0.0,1.0
sample_27,0.07246376811594203,0,1.0,0.011811023622047244,0.0,1.0
sample_28,0.05434782608695652,0,1.0,0.007692307692307693,0.0,1.0
sample_29,0.022222222222222223,0,1.0,0.010606060606060607,0.0,1.0
sample_30,0.05454545454545454,0,1.0,0.018404907975460124,0.0,1.0
sample_31,0.014492753623188406,0,1.0,0.012411347517730497,0.0,1.0
sample_32,0.05714285714285714,0,1.0,0.012919896640826873,0.0,1.0
sample_33,0.01775147928994083,0,1.0,0.008733624454148471,0.0,1.0
sample_34,0.02040816326530612,0,1.0,0.011400651465798045,0.0,1.0
sample_35,0.05434782608695652,0,1.0,0.010852713178294573,0.0,1.0
sample_36,0.04375,0,1.0,0.011111111111111112,0.0,1.0
