,ft_level1,ft_level2,ft_level3,base_level1,base_level2,base_level3
sample_0,0,0,0,0,1,1
sample_1,0,0,0,0,0,1
sample_2,0,0,0,0,0,1
sample_3,0,0,2,0,0,13
sample_4,0,0,0,0,0,2
sample_5,0,0,0,0,0,2
sample_6,0,0,2,0,0,3
sample_7,1,0,0,0,0,0
sample_8,0,0,0,0,0,0
sample_9,0,0,0,0,0,1
sample_10,0,0,1,0,0,1
sample_11,0,0,1,0,0,1
sample_12,0,0,0,0,0,0
sample_13,0,0,0,1,0,1
sample_14,0,0,0,0,0,0
sample_15,0,0,0,0,0,0
sample_16,0,0,2,0,0,5
sample_17,0,0,0,2,0,3
sample_18,0,0,0,0,0,2
sample_19,0,0,2,0,0,2
sample_20,0,1,1,0,1,3
sample_21,0,0,0,0,0,0
sample_22,1,0,4,0,2,7
sample_23,0,0,0,0,1,3
sample_24,0,0,0,1,0,0
sample_25,1,0,0,2,1,1
sample_26,0,3,1,1,2,7
sample_27,0,0,0,0,3,2
sample_28,0,0,1,0,0,3
sample_29,0,1,4,0,1,14
sample_30,0,0,1,0,2,8
sample_31,0,0,1,0,3,11
sample_32,0,0,0,0,0,0
sample_33,0,0,5,0,1,8
sample_34,0,0,1,0,0,4
sample_35,0,0,1,2,1,3
sample_36,0,0,3,0,0,1
